date,risk_free_rate
2013-11-12,3.1746031746031746e-06
2013-11-13,3.1746031746031746e-06
2013-11-14,3.1746031746031746e-06
2013-11-15,3.1746031746031746e-06
2013-11-18,3.5714285714285714e-06
2013-11-19,3.1746031746031746e-06
2013-11-20,3.1746031746031746e-06
2013-11-21,2.7777777777777783e-06
2013-11-22,2.7777777777777783e-06
2013-11-25,3.1746031746031746e-06
2013-11-26,2.7777777777777783e-06
2013-11-27,2.7777777777777783e-06
2013-11-29,2.3809523809523808e-06
2013-12-02,1.984126984126984e-06
2013-12-03,2.3809523809523808e-06
2013-12-04,2.3809523809523808e-06
2013-12-05,2.3809523809523808e-06
2013-12-06,2.3809523809523808e-06
2013-12-09,2.7777777777777783e-06
2013-12-10,2.7777777777777783e-06
2013-12-11,2.7777777777777783e-06
2013-12-12,2.7777777777777783e-06
2013-12-13,2.7777777777777783e-06
2013-12-16,2.7777777777777783e-06
2013-12-17,2.7777777777777783e-06
2013-12-18,2.7777777777777783e-06
2013-12-19,2.3809523809523808e-06
2013-12-20,2.7777777777777783e-06
2013-12-23,2.7777777777777783e-06
2013-12-24,2.7777777777777783e-06
2013-12-26,2.7777777777777783e-06
2013-12-27,2.7777777777777783e-06
2013-12-30,2.7777777777777783e-06
2013-12-31,2.7777777777777783e-06
2014-01-02,2.7777777777777783e-06
2014-01-03,2.7777777777777783e-06
2014-01-06,1.984126984126984e-06
2014-01-07,1.5873015873015873e-06
2014-01-08,1.984126984126984e-06
2014-01-09,1.5873015873015873e-06
2014-01-10,1.984126984126984e-06
2014-01-13,1.1904761904761904e-06
2014-01-14,1.5873015873015873e-06
2014-01-15,1.5873015873015873e-06
2014-01-16,1.5873015873015873e-06
2014-01-17,1.984126984126984e-06
2014-01-21,1.5873015873015873e-06
2014-01-22,1.5873015873015873e-06
2014-01-23,1.5873015873015873e-06
2014-01-24,1.5873015873015873e-06
2014-01-27,1.984126984126984e-06
2014-01-28,1.984126984126984e-06
2014-01-29,1.5873015873015873e-06
2014-01-30,7.936507936507937e-07
2014-01-31,7.936507936507937e-07
2014-02-03,1.984126984126984e-06
2014-02-04,2.3809523809523808e-06
2014-02-05,2.7777777777777783e-06
2014-02-06,2.7777777777777783e-06
2014-02-07,3.1746031746031746e-06
2014-02-10,2.7777777777777783e-06
2014-02-11,1.984126984126984e-06
2014-02-12,1.984126984126984e-06
2014-02-13,1.1904761904761904e-06
2014-02-14,7.936507936507937e-07
2014-02-18,1.984126984126984e-06
2014-02-19,2.3809523809523808e-06
2014-02-20,1.984126984126984e-06
2014-02-21,1.984126984126984e-06
2014-02-24,1.984126984126984e-06
2014-02-25,1.984126984126984e-06
2014-02-26,1.984126984126984e-06
2014-02-27,1.5873015873015873e-06
2014-02-28,1.984126984126984e-06
2014-03-03,1.984126984126984e-06
2014-03-04,1.984126984126984e-06
2014-03-05,2.3809523809523808e-06
2014-03-06,1.984126984126984e-06
2014-03-07,2.3809523809523808e-06
2014-03-10,1.984126984126984e-06
2014-03-11,1.984126984126984e-06
2014-03-12,1.984126984126984e-06
2014-03-13,1.984126984126984e-06
2014-03-14,1.984126984126984e-06
2014-03-17,2.3809523809523808e-06
2014-03-18,1.984126984126984e-06
2014-03-19,2.3809523809523808e-06
2014-03-20,2.3809523809523808e-06
2014-03-21,2.3809523809523808e-06
2014-03-24,2.3809523809523808e-06
2014-03-25,1.984126984126984e-06
2014-03-26,1.984126984126984e-06
2014-03-27,1.5873015873015873e-06
2014-03-28,1.5873015873015873e-06
2014-03-31,1.984126984126984e-06
2014-04-01,1.5873015873015873e-06
2014-04-02,7.936507936507937e-07
2014-04-03,7.936507936507937e-07
2014-04-04,1.1904761904761904e-06
2014-04-07,1.1904761904761904e-06
2014-04-08,1.1904761904761904e-06
2014-04-09,1.5873015873015873e-06
2014-04-10,1.5873015873015873e-06
2014-04-11,1.5873015873015873e-06
2014-04-14,1.5873015873015873e-06
2014-04-15,1.5873015873015873e-06
2014-04-16,1.5873015873015873e-06
2014-04-17,1.1904761904761904e-06
2014-04-21,1.5873015873015873e-06
2014-04-22,1.1904761904761904e-06
2014-04-23,7.936507936507937e-07
2014-04-24,3.9682539682539683e-07
2014-04-25,1.1904761904761904e-06
2014-04-28,1.1904761904761904e-06
2014-04-29,7.936507936507937e-07
2014-04-30,1.1904761904761904e-06
2014-05-01,1.1904761904761904e-06
2014-05-02,7.936507936507937e-07
2014-05-05,1.1904761904761904e-06
2014-05-06,1.1904761904761904e-06
2014-05-07,1.1904761904761904e-06
2014-05-08,1.1904761904761904e-06
2014-05-09,1.1904761904761904e-06
2014-05-12,1.1904761904761904e-06
2014-05-13,1.1904761904761904e-06
2014-05-14,1.1904761904761904e-06
2014-05-15,1.1904761904761904e-06
2014-05-16,1.1904761904761904e-06
2014-05-19,1.1904761904761904e-06
2014-05-20,1.1904761904761904e-06
2014-05-21,1.5873015873015873e-06
2014-05-22,1.1904761904761904e-06
2014-05-23,1.5873015873015873e-06
2014-05-27,1.5873015873015873e-06
2014-05-28,1.5873015873015873e-06
2014-05-29,1.5873015873015873e-06
2014-05-30,1.5873015873015873e-06
2014-06-02,1.5873015873015873e-06
2014-06-03,1.5873015873015873e-06
2014-06-04,1.5873015873015873e-06
2014-06-05,1.5873015873015873e-06
2014-06-06,1.5873015873015873e-06
2014-06-09,1.5873015873015873e-06
2014-06-10,1.5873015873015873e-06
2014-06-11,1.5873015873015873e-06
2014-06-12,1.5873015873015873e-06
2014-06-13,1.5873015873015873e-06
2014-06-16,1.5873015873015873e-06
2014-06-17,1.5873015873015873e-06
2014-06-18,1.1904761904761904e-06
2014-06-19,7.936507936507937e-07
2014-06-20,7.936507936507937e-07
2014-06-23,1.1904761904761904e-06
2014-06-24,1.1904761904761904e-06
2014-06-25,1.1904761904761904e-06
2014-06-26,1.5873015873015873e-06
2014-06-27,1.1904761904761904e-06
2014-06-30,1.5873015873015873e-06
2014-07-01,7.936507936507937e-07
2014-07-02,7.936507936507937e-07
2014-07-03,3.9682539682539683e-07
2014-07-07,1.5873015873015873e-06
2014-07-08,1.1904761904761904e-06
2014-07-09,1.1904761904761904e-06
2014-07-10,7.936507936507937e-07
2014-07-11,7.936507936507937e-07
2014-07-14,1.1904761904761904e-06
2014-07-15,7.936507936507937e-07
2014-07-16,7.936507936507937e-07
2014-07-17,7.936507936507937e-07
2014-07-18,7.936507936507937e-07
2014-07-21,1.1904761904761904e-06
2014-07-22,1.1904761904761904e-06
2014-07-23,1.1904761904761904e-06
2014-07-24,1.1904761904761904e-06
2014-07-25,1.1904761904761904e-06
2014-07-28,1.5873015873015873e-06
2014-07-29,7.936507936507937e-07
2014-07-30,1.5873015873015873e-06
2014-07-31,1.1904761904761904e-06
2014-08-01,1.1904761904761904e-06
2014-08-04,1.5873015873015873e-06
2014-08-05,1.1904761904761904e-06
2014-08-06,1.1904761904761904e-06
2014-08-07,1.1904761904761904e-06
2014-08-08,1.1904761904761904e-06
2014-08-11,1.5873015873015873e-06
2014-08-12,1.1904761904761904e-06
2014-08-13,1.5873015873015873e-06
2014-08-14,1.5873015873015873e-06
2014-08-15,1.1904761904761904e-06
2014-08-18,1.1904761904761904e-06
2014-08-19,1.1904761904761904e-06
2014-08-20,1.5873015873015873e-06
2014-08-21,7.936507936507937e-07
2014-08-22,1.1904761904761904e-06
2014-08-25,1.5873015873015873e-06
2014-08-26,1.1904761904761904e-06
2014-08-27,1.5873015873015873e-06
2014-08-28,1.1904761904761904e-06
2014-08-29,1.1904761904761904e-06
2014-09-02,1.1904761904761904e-06
2014-09-03,1.1904761904761904e-06
2014-09-04,1.1904761904761904e-06
2014-09-05,1.1904761904761904e-06
2014-09-08,7.936507936507937e-07
2014-09-09,7.936507936507937e-07
2014-09-10,7.936507936507937e-07
2014-09-11,7.936507936507937e-07
2014-09-12,7.936507936507937e-07
2014-09-15,7.936507936507937e-07
2014-09-16,7.936507936507937e-07
2014-09-17,7.936507936507937e-07
